customer_id,age,income,customer_days,recency,kidhome,teenhome,complain,total_children,marital_status,education_level
CUST_0000,63,58138.0,2822,58,0,0,False,0,Single,Graduation
CUST_0001,66,46344.0,2272,38,1,1,False,2,Single,Graduation
CUST_0002,55,71613.0,2471,26,0,0,False,0,Together,Graduation
CUST_0003,36,26646.0,2298,26,1,0,False,1,Together,Graduation
CUST_0004,39,58293.0,2320,94,1,0,False,1,Married,PhD
CUST_0005,53,62513.0,2452,16,0,1,False,1,Together,Master
CUST_0006,49,55635.0,2752,34,0,1,False,1,Divorced,Graduation
CUST_0007,35,33454.0,2576,32,1,0,False,1,Married,PhD
CUST_0008,46,30351.0,2547,19,1,0,False,1,Together,PhD
CUST_0009,70,5648.0,2267,68,1,1,False,2,Together,PhD
CUST_0010,44,7500.0,2752,59,0,0,False,0,Married,Basic
CUST_0011,61,63033.0,2385,82,0,0,False,0,Divorced,Graduation
CUST_0012,68,59354.0,2385,53,1,1,False,2,Divorced,Master
CUST_0013,33,17323.0,2786,38,0,0,False,0,Married,Graduation
CUST_0014,74,82800.0,2741,23,0,0,False,0,Single,PhD
CUST_0015,40,41850.0,2711,51,1,1,False,2,Married,Graduation
CUST_0016,74,37760.0,2826,20,0,0,False,0,Together,Graduation
CUST_0017,71,76995.0,2617,91,0,1,False,1,Married,Master
CUST_0018,35,33812.0,2762,86,1,0,False,1,Single,2n Cycle
CUST_0019,38,37040.0,2849,41,0,0,False,0,Married,Graduation
CUST_0020,41,2447.0,2698,42,1,0,False,1,Married,Graduation
CUST_0021,71,58607.0,2712,63,0,1,False,1,Married,PhD
CUST_0022,66,65324.0,2328,0,0,1,False,1,Married,PhD
CUST_0023,69,40689.0,2627,69,0,1,False,1,Together,Graduation
CUST_0024,51,18589.0,2702,89,0,0,False,0,Single,Graduation
CUST_0025,44,53359.0,2557,4,1,1,False,2,Married,Graduation
CUST_0026,31,38360.0,2553,26,1,0,False,1,Married,Graduation
CUST_0027,55,84618.0,2378,96,0,0,False,0,Married,PhD
CUST_0028,31,10979.0,2197,34,0,0,False,0,Divorced,Master
CUST_0029,57,38620.0,2573,56,0,0,False,0,Together,Master
CUST_0030,50,40548.0,2786,31,0,1,False,1,Together,Graduation
CUST_0031,68,46610.0,2767,8,0,2,False,2,Divorced,PhD
CUST_0032,74,68657.0,2653,4,0,0,False,0,Married,Master
CUST_0033,69,49389.0,2463,55,1,1,False,2,Single,Master
CUST_0034,50,67353.0,2339,37,0,1,False,1,Married,PhD
CUST_0035,44,23718.0,2459,76,1,0,False,1,Married,2n Cycle
CUST_0036,47,42429.0,2297,99,0,1,False,1,Widow,Graduation
CUST_0037,77,48948.0,2672,53,0,0,False,0,Divorced,PhD
CUST_0038,40,80011.0,2585,3,0,1,False,1,Married,Graduation
CUST_0039,35,20559.0,2633,88,1,0,False,1,Married,Master
CUST_0040,63,21994.0,2711,4,0,1,False,1,Together,Graduation
CUST_0041,45,7500.0,2429,19,1,0,False,1,Married,Master
CUST_0042,44,79941.0,2160,72,0,0,False,0,Single,Graduation
